bar,time,symbol,interval,price,signal,p_used,p_single,p_1m,p_5m,p_15m,p_1h,whale_dir,whale_score,atr,equity,peak_equity,max_drawdown_pct,pnl_total
243,2025-12-03 11:50:00+00:00,BTCUSDT,5m,92956.59,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,0.803471436162357,143.14285714285506,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
244,2025-12-03 11:55:00+00:00,BTCUSDT,5m,93005.68,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,136.18571428571158,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
245,2025-12-03 12:00:00+00:00,BTCUSDT,5m,93056.81,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,142.53642857142611,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
246,2025-12-03 12:05:00+00:00,BTCUSDT,5m,92908.83,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,148.87357142856905,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
247,2025-12-03 12:10:00+00:00,BTCUSDT,5m,92882.92,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,149.19142857142702,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
248,2025-12-03 12:15:00+00:00,BTCUSDT,5m,92834.47,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,146.82285714285536,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
249,2025-12-03 12:20:00+00:00,BTCUSDT,5m,92836.76,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,146.08857142856868,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
250,2025-12-03 12:25:00+00:00,BTCUSDT,5m,92730.7,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,139.19857142856821,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
251,2025-12-03 12:30:00+00:00,BTCUSDT,5m,92780.12,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,135.5035714285685,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
252,2025-12-03 12:35:00+00:00,BTCUSDT,5m,92855.91,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,138.55571428571213,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
253,2025-12-03 12:40:00+00:00,BTCUSDT,5m,92863.34,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,137.07999999999862,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
254,2025-12-03 12:45:00+00:00,BTCUSDT,5m,92979.99,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,144.153571428571,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
255,2025-12-03 12:50:00+00:00,BTCUSDT,5m,92921.87,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,140.769285714286,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
