symbol,side,qty,entry_price,notional,interval,opened_at,sl_price,tp_price,trailing_pct,atr_value,highest_price,lowest_price,meta,closed_at,close_price,realized_pnl,close_reason,bt_symbol,bt_interval,bt_bar,bt_time,bt_signal,bt_price,bt_p_used,bt_p_single,bt_p_1m,bt_p_5m,bt_p_15m,bt_p_1h,whale_dir,whale_score,bt_atr
BTCUSDT,long,0.0005398904540673079,92611.38,50.0,5m,2025-12-13T19:55:28.487784,92189.1867857143,93455.76642857143,0.01,281.46214285714296,93421.05,92611.38,"{'probs': {'p_used': 0.7267305791378021, 'p_single': 0.7267305791378021}, 'extra': {'mtf_debug': None, 'whale_dir': 'none', 'whale_score': 0.0, 'whale_on': False, 'whale_alignment': 'no_whale', 'whale_thr': 0.5, 'model_confidence_factor': 1.0, 'atr': 281.46214285714296}}",2025-12-13T19:57:29.454100,93477.59,0.4676585102176383,TP_HIT,BTCUSDT,5m,260,260,long,93477.59,0.7267305791378021,0.7267305791378021,,,,,short,0.9808550870368568,175.50857142857421
BTCUSDT,long,0.0003476769137929209,93477.59,32.5,5m,2025-12-13T19:57:29.454770,93214.32714285713,94004.11571428573,0.01,175.50857142857421,93828.0,93477.59,"{'probs': {'p_used': 0.7267305791378021, 'p_single': 0.7267305791378021}, 'extra': {'mtf_debug': None, 'whale_dir': 'short', 'whale_score': 0.9808550870368568, 'whale_on': True, 'whale_alignment': 'opposed', 'whale_thr': 0.5, 'model_confidence_factor': 0.3, 'atr': 175.50857142857421}}",2025-12-13T19:58:08.729025,94033.69,0.19334313176024534,TP_HIT,BTCUSDT,5m,278,278,long,94033.69,0.7267305791378021,0.7267305791378021,,,,,none,0.0,251.14642857142877
BTCUSDT,long,0.00053172432135759,94033.69,50.0,5m,2025-12-13T19:58:08.729753,93656.97035714285,94787.12928571428,0.01,251.14642857142877,94033.69,94033.69,"{'probs': {'p_used': 0.7267305791378021, 'p_single': 0.7267305791378021}, 'extra': {'mtf_debug': None, 'whale_dir': 'none', 'whale_score': 0.0, 'whale_on': False, 'whale_alignment': 'no_whale', 'whale_thr': 0.5, 'model_confidence_factor': 1.0, 'atr': 251.14642857142877}}",2025-12-13T19:58:15.478883,93595.12,-0.23319833561780196,SL_HIT,BTCUSDT,5m,281,281,long,93595.12,0.7267305791378021,0.7267305791378021,,,,,none,0.0,250.0907142857125
BTCUSDT,long,0.0005342158864692946,93595.12,50.0,5m,2025-12-13T19:58:15.479536,93219.98392857143,94345.39214285713,0.01,250.0907142857125,93646.85,93595.12,"{'probs': {'p_used': 0.7267305791378021, 'p_single': 0.7267305791378021}, 'extra': {'mtf_debug': None, 'whale_dir': 'none', 'whale_score': 0.0, 'whale_on': False, 'whale_alignment': 'no_whale', 'whale_thr': 0.5, 'model_confidence_factor': 1.0, 'atr': 250.0907142857125}}",2025-12-13T19:58:37.697684,92952.99,-0.3430360471785228,SL_HIT,BTCUSDT,5m,291,291,long,92952.99,0.7267305791378021,0.7267305791378021,,,,,short,0.5779730180187796,180.08785714285582
BTCUSDT,long,0.0003496391025183805,92952.99,32.5,5m,2025-12-13T19:58:37.698692,92682.85821428572,93493.25357142858,0.01,180.08785714285582,93095.0,92952.99,"{'probs': {'p_used': 0.7267305791378021, 'p_single': 0.7267305791378021}, 'extra': {'mtf_debug': None, 'whale_dir': 'short', 'whale_score': 0.5779730180187796, 'whale_on': True, 'whale_alignment': 'opposed', 'whale_thr': 0.5, 'model_confidence_factor': 0.3, 'atr': 180.08785714285582}}",2025-12-13T19:58:46.461719,92676.71,-0.09659829124377776,SL_HIT,BTCUSDT,5m,295,295,long,92676.71,0.7267305791378021,0.7267305791378021,,,,,none,0.0,176.62928571428554
BTCUSDT,long,0.0005395098725451086,92676.71,50.0,5m,2025-12-13T19:58:46.463184,92411.76607142857,93206.59785714286,0.01,176.62928571428554,93054.86,92676.71,"{'probs': {'p_used': 0.7267305791378021, 'p_single': 0.7267305791378021}, 'extra': {'mtf_debug': None, 'whale_dir': 'none', 'whale_score': 0.0, 'whale_on': False, 'whale_alignment': 'no_whale', 'whale_thr': 0.5, 'model_confidence_factor': 1.0, 'atr': 176.62928571428554}}",2025-12-13T19:58:59.721875,93231.01,0.29905032235174744,TP_HIT,BTCUSDT,5m,301,301,long,93231.01,0.7267305791378021,0.7267305791378021,,,,,none,0.0,214.49999999999895
BTCUSDT,long,0.0005363022453580628,93231.01,50.0,5m,2025-12-13T19:58:59.723215,92909.26,93874.51,0.01,214.49999999999895,93691.82,93231.01,"{'probs': {'p_used': 0.7267305791378021, 'p_single': 0.7267305791378021}, 'extra': {'mtf_debug': None, 'whale_dir': 'none', 'whale_score': 0.0, 'whale_on': False, 'whale_alignment': 'no_whale', 'whale_thr': 0.5, 'model_confidence_factor': 1.0, 'atr': 214.49999999999895}}",2025-12-13T19:59:33.231816,93912.2,0.36532372651546,TP_HIT,BTCUSDT,5m,316,316,long,93912.2,0.7267305791378021,0.7267305791378021,,,,,none,0.0,224.95000000000022
BTCUSDT,long,0.0005324121892576257,93912.2,50.0,5m,2025-12-13T19:59:33.233000,93574.775,94587.05,0.01,224.95000000000022,94012.75,93912.2,"{'probs': {'p_used': 0.7267305791378021, 'p_single': 0.7267305791378021}, 'extra': {'mtf_debug': None, 'whale_dir': 'none', 'whale_score': 0.0, 'whale_on': False, 'whale_alignment': 'no_whale', 'whale_thr': 0.5, 'model_confidence_factor': 1.0, 'atr': 224.95000000000022}}",2025-12-13T20:00:09.044320,93545.34,-0.19532073575105288,SL_HIT,BTCUSDT,5m,331,331,long,93545.34,0.7267306089401245,0.7267306089401245,,,,,none,0.0,172.3092857142869
BTCUSDT,long,0.0005345001685813532,93545.34,50.0,5m,2025-12-13T20:00:09.045593,93286.87607142856,94062.26785714286,0.01,172.3092857142869,93607.7,93545.34,"{'probs': {'p_used': 0.7267306089401245, 'p_single': 0.7267306089401245}, 'extra': {'mtf_debug': None, 'whale_dir': 'none', 'whale_score': 0.0, 'whale_on': False, 'whale_alignment': 'no_whale', 'whale_thr': 0.5, 'model_confidence_factor': 1.0, 'atr': 172.3092857142869}}",2025-12-13T20:00:58.289109,93130.11,-0.22194050500003312,SL_HIT,BTCUSDT,5m,350,350,long,93130.11,0.7267306089401245,0.7267306089401245,,,,,none,0.0,130.1435714285721
BTCUSDT,long,0.0005368832915584444,93130.11,50.0,5m,2025-12-13T20:00:58.289782,92934.89464285714,93520.54071428571,0.01,130.1435714285721,93203.68,93130.11,"{'probs': {'p_used': 0.7267306089401245, 'p_single': 0.7267306089401245}, 'extra': {'mtf_debug': None, 'whale_dir': 'none', 'whale_score': 0.0, 'whale_on': False, 'whale_alignment': 'no_whale', 'whale_thr': 0.5, 'model_confidence_factor': 1.0, 'atr': 130.1435714285721}}",2025-12-13T20:01:22.836015,92870.0,-0.1396487129672673,SL_HIT,BTCUSDT,5m,359,359,long,92870.0,0.7267305791378021,0.7267305791378021,,,,,short,0.8341136660086511,133.06857142857294
