bar,time,symbol,interval,price,signal,p_used,p_single,p_1m,p_5m,p_15m,p_1h,whale_dir,whale_score,whale_on,whale_alignment,whale_thr,model_confidence_factor,atr,equity,peak_equity,max_drawdown_pct,pnl_total
232,232,BTCUSDT,5m,92939.4,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,158.40142857142823,1000.1519816788001,1000.2797628979012,0.01277454806551907,0.15198167880009805
233,233,BTCUSDT,5m,92910.0,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,0.7125275502633447,True,opposed,0.5,0.3,147.20999999999913,1000.1519816788001,1000.2797628979012,0.01277454806551907,0.15198167880009805
234,234,BTCUSDT,5m,92942.54,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,148.5235714285705,1000.1519816788001,1000.2797628979012,0.01277454806551907,0.15198167880009805
235,235,BTCUSDT,5m,92751.28,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,short,0.7440900515247848,True,opposed,0.5,0.3,152.26928571428496,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
236,236,BTCUSDT,5m,92867.01,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,short,0.5758869727411824,True,opposed,0.5,0.3,163.9257142857137,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
237,237,BTCUSDT,5m,93002.8,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,1.0,True,opposed,0.5,0.3,171.13571428571387,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
238,238,BTCUSDT,5m,92995.32,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,long,0.5942137224185792,True,aligned,0.5,1.0,170.355714285714,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
239,239,BTCUSDT,5m,92995.95,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,167.3785714285706,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
240,240,BTCUSDT,5m,92982.73,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,158.14071428571333,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
241,241,BTCUSDT,5m,92912.41,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,153.18714285714148,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
242,242,BTCUSDT,5m,92991.59,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,147.5799999999976,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
243,243,BTCUSDT,5m,92956.59,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,0.803471436162357,True,opposed,0.5,0.3,143.14285714285506,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
