open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2025-11-04 14:00:00+00:00,103924.26,104694.28,102915.05,104500.01,2915.82303,2025-11-04 14:59:59.999000+00:00,302284273.32694020,459051,1298.77426000,134722429.92614820,0
2025-11-04 15:00:00+00:00,104500.01,104842.63,103185.89,103197.01,2271.81312,2025-11-04 15:59:59.999000+00:00,236586744.20442310,474489,1070.68164000,111547638.46053870,0
2025-11-04 16:00:00+00:00,103197.02,103500.05,102164.0,102257.7,3313.32683,2025-11-04 16:59:59.999000+00:00,340634523.35689600,562206,1289.48733000,132596188.29272820,0
2025-11-04 17:00:00+00:00,102257.7,102257.7,100800.0,101114.83,4223.40802,2025-11-04 17:59:59.999000+00:00,428470955.46941760,663485,1817.30565000,184336938.07732300,0
2025-11-04 18:00:00+00:00,101114.82,101492.74,100010.73,101363.98,4101.41064,2025-11-04 18:59:59.999000+00:00,413018514.74466230,625911,1807.90749000,182126082.53774020,0
2025-11-04 19:00:00+00:00,101363.97,101711.84,100414.0,100542.64,1814.79036,2025-11-04 19:59:59.999000+00:00,183434047.28402390,466508,920.80932000,93100254.75362400,0
2025-11-04 20:00:00+00:00,100542.64,101119.4,99600.0,100755.43,4335.57159,2025-11-04 20:59:59.999000+00:00,434923219.27642940,599202,2011.16256000,201871975.23161480,0
2025-11-04 21:00:00+00:00,100755.42,100831.49,98944.36,100311.46,4105.7665,2025-11-04 21:59:59.999000+00:00,409707603.03082540,530430,1937.98055000,193498397.99620770,0
2025-11-04 22:00:00+00:00,100311.46,101893.09,100082.0,101295.71,2258.84809,2025-11-04 22:59:59.999000+00:00,228253667.64408610,383304,1224.26678000,123711717.59992360,0
2025-11-04 23:00:00+00:00,101295.7,101740.0,100907.36,101497.22,1518.90709,2025-11-04 23:59:59.999000+00:00,153914699.36998970,233347,943.06182000,95577482.59034180,0
2025-11-05 00:00:00+00:00,101497.23,101752.96,100350.0,100564.3,1452.38181,2025-11-05 00:59:59.999000+00:00,146570803.54159430,325593,696.30472000,70295605.15352610,0
2025-11-05 01:00:00+00:00,100564.3,101015.01,98966.8,100761.62,3025.00486,2025-11-05 01:59:59.999000+00:00,301950510.35940390,522828,1390.55257000,138857475.75595550,0
2025-11-05 02:00:00+00:00,100761.62,101922.98,100754.54,101677.93,3700.99085,2025-11-05 02:59:59.999000+00:00,375285834.35778960,471966,2179.53607000,221050816.74234640,0
2025-11-05 03:00:00+00:00,101677.94,102272.23,101461.98,102130.0,2834.46709,2025-11-05 03:59:59.999000+00:00,289059113.48833610,353352,1728.02857000,176230486.41992610,0
2025-11-05 04:00:00+00:00,102130.0,102236.92,101517.47,101998.3,2059.55564,2025-11-05 04:59:59.999000+00:00,209940730.21261220,261156,1256.54626000,128107387.26696730,0
2025-11-05 05:00:00+00:00,101998.3,102370.0,101595.0,101824.89,1088.37371,2025-11-05 05:59:59.999000+00:00,110963237.77415570,226259,615.84482000,62797527.74170360,0
2025-11-05 06:00:00+00:00,101824.89,102139.36,101500.0,102119.99,869.66608,2025-11-05 06:59:59.999000+00:00,88544235.21881710,196878,537.06788000,54684829.23326300,0
2025-11-05 07:00:00+00:00,102120.0,102152.58,101601.71,101993.02,644.24535,2025-11-05 07:59:59.999000+00:00,65649031.62615090,167147,336.71586000,34311908.33222840,0
2025-11-05 08:00:00+00:00,101993.03,102000.02,101176.47,101699.74,1179.77273,2025-11-05 08:59:59.999000+00:00,119846849.02427830,275371,538.27264000,54683918.67907820,0
2025-11-05 09:00:00+00:00,101699.74,102203.48,101608.0,101995.29,785.11664,2025-11-05 09:59:59.999000+00:00,80013947.64783450,244906,382.39385000,38975610.94523450,0
2025-11-05 10:00:00+00:00,101995.28,101995.29,101285.09,101401.97,724.99165,2025-11-05 10:59:59.999000+00:00,73703110.33863780,230243,332.02398000,33752316.87610950,0
