score_sum_pnl_scaled,k,x0,fmin,fmax
7.843915966190616,10.0,0.3,0.4,2.0
7.790571053540586,8.0,0.3,0.4,2.0
7.686120282811405,10.0,0.3,0.3,2.0
7.664354150530409,6.0,0.3,0.4,2.0
7.629180877914164,8.0,0.3,0.3,2.0
7.528302706017183,10.0,0.3,0.2,2.0
7.494358518875569,6.0,0.3,0.3,2.0
7.489230791163676,10.0,0.4,0.4,2.0
7.4677330991014,8.0,0.3,0.2,2.0
7.341773901644751,8.0,0.4,0.4,2.0
7.324201226413049,6.0,0.3,0.2,2.0
7.313860239849745,4.0,0.3,0.4,2.0
7.308256025449484,10.0,0.4,0.3,2.0
7.150763231085137,8.0,0.4,0.3,2.0
7.127107396299679,10.0,0.4,0.2,2.0
7.119740938284885,4.0,0.3,0.3,2.0
7.117447082268357,6.0,0.4,0.4,2.0
6.959446983751047,8.0,0.4,0.2,2.0
6.925113794192273,4.0,0.3,0.2,2.0
6.910832316752932,6.0,0.4,0.3,2.0
6.871570119435291,10.0,0.5,0.4,2.0
6.703647899544668,6.0,0.4,0.2,2.0
6.703612725244533,4.0,0.4,0.4,2.0
6.691703317788458,8.0,0.5,0.4,2.0
6.64570431384562,10.0,0.5,0.3,2.0
6.4676064357525735,4.0,0.4,0.3,2.0
6.453379778119739,8.0,0.5,0.3,2.0
6.4273339018004085,6.0,0.5,0.4,2.0
6.418397376469931,10.0,0.5,0.2,2.0
6.318944415752242,2.0,0.3,0.4,2.0
6.230418466878034,4.0,0.4,0.2,2.0
6.213394465006987,8.0,0.5,0.2,2.0
6.17045290298757,6.0,0.5,0.3,2.0
6.053932075226324,2.0,0.3,0.3,2.0
5.9994579746378225,4.0,0.5,0.4,2.0
5.911541557472173,6.0,0.5,0.2,2.0
5.8565607077878115,10.0,0.6,0.4,2.0
5.811522698272635,2.0,0.4,0.4,2.0
5.786906933701871,2.0,0.3,0.2,2.0
5.748159182565548,8.0,0.6,0.4,2.0
5.71185520791402,4.0,0.5,0.3,2.0
5.539058879351907,6.0,0.6,0.4,2.0
5.536181489955156,10.0,0.6,0.3,2.0
5.509462418689921,2.0,0.4,0.3,2.0
5.426329508233582,8.0,0.6,0.3,2.0
5.421493685240814,4.0,0.5,0.2,2.0
5.269459826414261,2.0,0.5,0.4,2.0
5.207466719129651,6.0,0.6,0.3,2.0
5.204521945228111,10.0,0.6,0.2,2.0
5.204325399247302,2.0,0.4,0.2,2.0
5.18477186853828,4.0,0.6,0.4,2.0
5.0957404528247565,8.0,0.6,0.2,2.0
4.925995659149448,2.0,0.5,0.3,2.0
4.868740673106541,6.0,0.6,0.2,2.0
4.865465409247997,10.0,0.3,0.4,1.5
4.83146941551215,4.0,0.6,0.3,2.0
4.813214809390187,8.0,0.3,0.4,1.5
4.705673257986792,10.0,0.3,0.3,1.5
4.696087261799249,6.0,0.3,0.4,1.5
4.694728417161993,2.0,0.6,0.4,2.0
4.648245906121755,8.0,0.3,0.3,1.5
4.588573195471231,10.0,0.4,0.4,1.5
4.577827969056256,2.0,0.5,0.2,2.0
4.545830020768821,10.0,0.3,0.2,1.5
4.519305661159154,6.0,0.3,0.3,1.5
4.492359078429183,8.0,0.7,0.4,2.0
4.483143544315856,8.0,0.3,0.2,1.5
4.471758498553313,4.0,0.6,0.2,2.0
4.463936457757087,8.0,0.4,0.4,1.5
4.460590754772189,10.0,0.7,0.4,2.0
4.423688764193243,6.0,0.7,0.4,2.0
4.401974799374221,10.0,0.4,0.3,1.5
4.390648558797924,4.0,0.3,0.4,1.5
4.342153225620294,6.0,0.3,0.2,1.5
4.3048391099786985,2.0,0.6,0.3,2.0
4.270722876309319,6.0,0.4,0.4,1.5
4.264696372902011,8.0,0.4,0.3,1.5
4.2499387274194085,4.0,0.7,0.4,2.0
4.214980995054958,10.0,0.4,0.2,1.5
4.182536767583908,4.0,0.3,0.3,1.5
4.090075616024829,2.0,0.7,0.4,2.0
4.087383468967931,10.0,0.5,0.4,1.5
4.0647666915983764,8.0,0.4,0.2,1.5
4.05140056253087,6.0,0.4,0.3,1.5
4.02079153298014,8.0,0.7,0.3,2.0
3.976694178094934,6.0,0.7,0.3,2.0
3.9732761704868627,4.0,0.3,0.2,1.5
3.949007553744007,10.0,0.7,0.3,2.0
3.938401835109044,8.0,0.5,0.4,1.5
3.9142944049610575,4.0,0.4,0.4,1.5
3.907767216842266,2.0,0.6,0.2,2.0
3.845560016958543,10.0,0.5,0.3,1.5
3.830803788731939,6.0,0.4,0.2,1.5
3.8108220607967365,4.0,0.7,0.3,2.0
3.716566046868845,6.0,0.5,0.4,1.5
3.6811276879078325,8.0,0.5,0.3,1.5
3.6570004458517995,4.0,0.4,0.3,1.5
3.647908823691218,2.0,0.7,0.3,2.0
3.6006552295797905,10.0,0.5,0.2,1.5
3.5569911186537,2.0,0.3,0.4,1.5
3.509611402664336,8.0,0.7,0.2,2.0
3.5061596852408266,6.0,0.7,0.2,2.0
3.50411734931922,10.0,0.7,0.2,2.0
3.4359351773992235,6.0,0.5,0.3,1.5
3.420294320343045,8.0,0.5,0.2,1.5
3.397088855942366,4.0,0.4,0.2,1.5
3.3570871436171212,4.0,0.7,0.2,2.0
3.353126447530639,4.0,0.5,0.4,1.5
3.2593302194353573,2.0,0.3,0.3,1.5
3.242670999971141,10.0,0.6,0.4,1.5
3.1948023630940283,2.0,0.7,0.2,2.0
3.1559044696586653,2.0,0.4,0.4,1.5
3.155774842742268,8.0,0.6,0.4,1.5
3.1509454748379726,6.0,0.5,0.2,1.5
3.0332284148142983,4.0,0.5,0.3,1.5
2.9863380575271083,6.0,0.6,0.4,1.5
2.957211633470245,2.0,0.3,0.2,1.5
2.899753659176654,10.0,0.6,0.3,1.5
2.813572150945661,2.0,0.4,0.3,1.5
2.813402337779656,10.0,0.3,0.4,1.2
2.792394217336508,8.0,0.6,0.3,1.5
2.7610656702787044,8.0,0.3,0.4,1.2
2.723409702060052,2.0,0.5,0.4,1.5
2.7073937788231883,4.0,0.5,0.2,1.5
2.6921999141877815,4.0,0.6,0.4,1.5
2.6510794833404767,10.0,0.3,0.3,1.2
2.64811180061827,6.0,0.3,0.4,1.2
2.6114540978138154,6.0,0.6,0.3,1.5
2.6006138484171215,10.0,0.6,0.2,1.5
2.5915885415508235,8.0,0.3,0.3,1.2
2.581975124586792,10.0,0.4,0.4,1.2
2.4886583969392886,10.0,0.3,0.2,1.2
2.4702469453502416,8.0,0.4,0.4,1.2
2.4645167979074034,2.0,0.4,0.2,1.5
2.462857938210667,6.0,0.3,0.3,1.2
2.4542274601103506,8.0,0.6,0.2,1.5
2.4218565726212167,8.0,0.3,0.2,1.2
2.388410312667288,10.0,0.4,0.3,1.2
2.3675159915475996,4.0,0.3,0.4,1.2
2.330358863862401,2.0,0.5,0.3,1.5
2.294534470672136,6.0,0.4,0.4,1.2
2.2904138908238756,4.0,0.6,0.3,1.5
2.2769027874724865,6.0,0.3,0.2,1.2
2.26087842546102,8.0,0.4,0.3,1.2
2.2605515177083033,2.0,0.6,0.4,1.5
2.2268793894945205,10.0,0.7,0.4,1.5
2.222190627802339,6.0,0.6,0.2,1.5
2.1941039683099235,10.0,0.4,0.2,1.2
2.176885770818891,8.0,0.7,0.4,1.5
2.1584080516784137,10.0,0.5,0.4,1.2
2.1421715004696713,4.0,0.3,0.3,1.2
2.0596932113625424,6.0,0.4,0.3,1.2
2.056974016643711,6.0,0.7,0.4,1.5
2.0502261916531728,8.0,0.4,0.2,1.2
2.0300825991235336,8.0,0.5,0.4,1.2
1.9708230170806016,4.0,0.4,0.4,1.2
1.9309234331810707,10.0,0.5,0.3,1.2
1.9271902677070074,2.0,0.5,0.2,1.5
1.9233570129455746,4.0,0.7,0.4,1.5
1.9146834730335716,4.0,0.3,0.2,1.2
1.8753600891305013,4.0,0.6,0.2,1.5
1.8438911960193296,10.0,0.7,0.3,1.5
1.8356284305093244,6.0,0.5,0.4,1.2
1.8224988582211537,6.0,0.4,0.2,1.2
1.809791547779992,2.0,0.6,0.3,1.5
1.784328430529405,8.0,0.5,0.3,1.2
1.769182324948243,2.0,0.7,0.4,1.5
1.7670597296746549,8.0,0.7,0.3,1.5
1.702300890711516,10.0,0.5,0.2,1.2
1.6878038598127798,4.0,0.4,0.3,1.2
1.6281010932341742,2.0,0.3,0.4,1.2
1.6204461761924693,6.0,0.7,0.3,1.5
1.618075481386273,10.0,0.6,0.4,1.2
1.5615852456789845,6.0,0.5,0.3,1.2
1.5367579409035186,8.0,0.5,0.2,1.2
1.512391423039466,4.0,0.5,0.4,1.2
1.505769580382902,8.0,0.6,0.4,1.2
1.4579698514816375,10.0,0.7,0.2,1.5
1.4161767922320292,4.0,0.4,0.2,1.2
1.4130085830506742,4.0,0.7,0.3,1.5
1.3721865293353135,8.0,0.7,0.2,1.5
1.343859120273697,2.0,0.6,0.2,1.5
1.3335731597146627,10.0,0.6,0.3,1.2
1.322963753923407,6.0,0.6,0.4,1.2
1.29141544756924,6.0,0.5,0.2,1.2
1.2913990769222892,2.0,0.4,0.4,1.2
1.2912616332794304,2.0,0.3,0.3,1.2
1.2526322739180555,2.0,0.7,0.3,1.5
1.2068407151781606,8.0,0.6,0.3,1.2
1.1949374701787798,4.0,0.5,0.3,1.2
1.1939118982692647,6.0,0.7,0.2,1.5
1.0576601183350782,10.0,0.6,0.2,1.2
1.0296803592760722,4.0,0.6,0.4,1.2
1.0166859543104403,10.0,0.7,0.4,1.2
1.0053936435430795,6.0,0.6,0.3,1.2
0.9658725178889189,2.0,0.3,0.2,1.2
0.9461577991131542,2.0,0.5,0.4,1.2
0.9303411724330706,8.0,0.7,0.4,1.2
0.9299460097347599,4.0,0.7,0.2,1.5
0.9253841469229568,2.0,0.4,0.3,1.2
0.9210014899152537,8.0,0.6,0.2,1.2
0.8869008338849932,4.0,0.5,0.2,1.2
0.7768498588622487,6.0,0.7,0.4,1.2
0.7134490452079975,2.0,0.7,0.2,1.5
0.700117393804755,6.0,0.6,0.2,1.2
0.6901294381745012,10.0,0.7,0.3,1.2
0.6817164292344717,4.0,0.6,0.3,1.2
0.6087367469840745,2.0,0.6,0.4,1.2
0.599532053990608,8.0,0.7,0.3,1.2
0.5820998140605375,2.0,0.4,0.2,1.2
0.5638037009202601,2.0,0.5,0.3,1.2
