case,summary,total_return,sharpe,max_drawdown,winrate,trades
A_EMA_OFF,outputs/summary_BTCUSDT_5m_20251217_005636.csv,0.0,0.0,0.0,0.0,0.0
B_EMA_ON,outputs/summary_BTCUSDT_5m_20251217_045209.csv,0.0,0.0,0.0,0.0,0.0
