alignment,n_trades,wins,losses,winrate_pct,pnl_sum,pnl_mean,pnl_median,avg_whale_score
aligned,4.0,3.0,1.0,75.0,1.3922343627103633,0.3480585906775908,0.43264519414928904,0.8973675340185537
no_whale,14.0,5.0,9.0,35.714285714285715,-0.628980880501621,-0.04492720575011579,-0.13796781407558434,0.0
opposed,5.0,1.0,4.0,20.0,-1.0577875876435126,-0.2115575175287025,-0.1980880625256379,0.811260840476467
