case,summary,total_return,sharpe,max_drawdown,winrate,trades
A_EMA_OFF,outputs/summary_BTCUSDT_5m_20251217_004442.csv,0.0,0.0,0.0,0.0,0.0
B_EMA_ON,outputs/summary_BTCUSDT_5m_20251217_044319.csv,0.0,0.0,0.0,0.0,0.0
