bucket,n_trades,wins,losses,winrate_pct,pnl_sum,pnl_mean,pnl_median,avg_whale_score
off,15.0,7.0,8.0,46.666666666666664,-0.14907614370738792,-0.009938409580492528,-0.0965982912437777,0.0
strong,10.0,4.0,6.0,40.0,-0.05779638703489984,-0.005779638703489983,-0.12943211727696047,0.8645774338456549
