thr,score,total_pnl,aligned_pnl,opposed_pnl,n_trades,aligned_trades,opposed_trades,no_whale_trades,other_trades
0.0,2.450021950353876,-0.2945341054347703,1.3922343627103633,-1.0577875876435126,23.0,4.0,5.0,14.0,0.0
0.05,2.450021950353876,-0.2945341054347703,1.3922343627103633,-1.0577875876435126,23.0,4.0,5.0,14.0,0.0
0.1,2.450021950353876,-0.2945341054347703,1.3922343627103633,-1.0577875876435126,23.0,4.0,5.0,14.0,0.0
0.15000000000000002,2.450021950353876,-0.2945341054347703,1.3922343627103633,-1.0577875876435126,23.0,4.0,5.0,14.0,0.0
0.2,2.450021950353876,-0.2945341054347703,1.3922343627103633,-1.0577875876435126,23.0,4.0,5.0,14.0,0.0
0.25,2.450021950353876,-0.2945341054347703,1.3922343627103633,-1.0577875876435126,23.0,4.0,5.0,14.0,0.0
0.3,2.450021950353876,-0.2945341054347703,1.3922343627103633,-1.0577875876435126,23.0,4.0,5.0,14.0,0.0
0.35,2.450021950353876,-0.2945341054347703,1.3922343627103633,-1.0577875876435126,23.0,4.0,5.0,14.0,0.0
0.39999999999999997,2.450021950353876,-0.2945341054347703,1.3922343627103633,-1.0577875876435126,23.0,4.0,5.0,14.0,0.0
0.44999999999999996,2.450021950353876,-0.2945341054347703,1.3922343627103633,-1.0577875876435126,23.0,4.0,5.0,14.0,0.0
0.49999999999999994,2.450021950353876,-0.2945341054347703,1.3922343627103633,-1.0577875876435126,23.0,4.0,5.0,14.0,0.0
0.5499999999999999,2.450021950353876,-0.2945341054347703,1.3922343627103633,-1.0577875876435126,23.0,4.0,5.0,14.0,0.0
0.9500000000000003,1.9145417917149878,-0.2945341054347703,1.1341321376651476,-0.7804096540498402,23.0,3.0,1.0,19.0,0.0
0.6,1.8488836781301377,-0.2945341054347703,1.1341321376651476,-0.7147515404649899,23.0,3.0,4.0,16.0,0.0
0.65,1.8488836781301377,-0.2945341054347703,1.1341321376651476,-0.7147515404649899,23.0,3.0,4.0,16.0,0.0
0.7000000000000001,1.8488836781301377,-0.2945341054347703,1.1341321376651476,-0.7147515404649899,23.0,3.0,4.0,16.0,0.0
0.7500000000000001,1.6507956156044996,-0.2945341054347703,1.1341321376651476,-0.516663477939352,23.0,3.0,3.0,17.0,0.0
0.8000000000000002,1.6507956156044996,-0.2945341054347703,1.1341321376651476,-0.516663477939352,23.0,3.0,3.0,17.0,0.0
0.8500000000000002,1.5111469026372324,-0.2945341054347703,1.1341321376651476,-0.3770147649720847,23.0,3.0,2.0,18.0,0.0
0.9000000000000002,1.5111469026372324,-0.2945341054347703,1.1341321376651476,-0.3770147649720847,23.0,3.0,2.0,18.0,0.0
1.0000000000000002,0.0,-0.2945341054347703,0.0,0.0,23.0,0.0,0.0,23.0,0.0
