bar,time,symbol,interval,price,signal,p_used,p_single,p_1m,p_5m,p_15m,p_1h,whale_dir,whale_score,whale_on,whale_alignment,whale_thr,model_confidence_factor,atr,equity,peak_equity,max_drawdown_pct,pnl_total
200,200,BTCUSDT,5m,93054.86,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,203.92214285714206,1000.0,1000.0,0.0,0.0
201,201,BTCUSDT,5m,93231.01,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,214.49999999999895,1000.0,1000.0,0.0,0.0
202,202,BTCUSDT,5m,93218.95,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,205.17214285714206,1000.0,1000.0,0.0,0.0
203,203,BTCUSDT,5m,93691.82,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,long,0.8608510785407096,True,aligned,0.5,1.0,232.92785714285648,1000.342249722368,1000.342249722368,0.0,0.34224972236802387
204,204,BTCUSDT,5m,93283.24,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,260.1871428571415,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
205,205,BTCUSDT,5m,93344.82,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,248.86428571428405,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
206,206,BTCUSDT,5m,93384.29,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,247.1185714285696,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
207,207,BTCUSDT,5m,93453.73,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,long,0.8221161312979306,True,aligned,0.5,1.0,246.26428571428445,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
208,208,BTCUSDT,5m,93512.13,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,233.4428571428559,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
209,209,BTCUSDT,5m,93451.45,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,223.76499999999942,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
210,210,BTCUSDT,5m,93260.11,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,229.07500000000022,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
211,211,BTCUSDT,5m,93180.0,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,222.02214285714373,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
212,212,BTCUSDT,5m,93195.07,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,213.55142857142866,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
213,213,BTCUSDT,5m,93281.59,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,217.90714285714265,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
214,214,BTCUSDT,5m,93412.2,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,209.31857142857083,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
215,215,BTCUSDT,5m,93682.31,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,214.84428571428518,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
216,216,BTCUSDT,5m,93912.2,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,224.95000000000022,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
217,217,BTCUSDT,5m,93899.99,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,0.6195214942193178,True,opposed,0.5,0.3,214.50857142857214,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
218,218,BTCUSDT,5m,93800.01,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,1.0,True,opposed,0.5,0.3,184.05071428571577,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
219,219,BTCUSDT,5m,93711.06,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,184.05285714285856,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
220,220,BTCUSDT,5m,93980.09,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,0.6545498140469583,True,opposed,0.5,0.3,193.76071428571595,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
221,221,BTCUSDT,5m,93878.01,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,short,0.606746241934437,True,opposed,0.5,0.3,199.95571428571566,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
222,222,BTCUSDT,5m,93847.24,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,short,0.5269913454366865,True,opposed,0.5,0.3,205.16571428571584,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
223,223,BTCUSDT,5m,93826.75,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,1.0,True,opposed,0.5,0.3,209.712142857145,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
224,224,BTCUSDT,5m,93943.24,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,long,0.863102627957845,True,aligned,0.5,1.0,202.05857142857298,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
225,225,BTCUSDT,5m,93992.8,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,long,1.0,True,aligned,0.5,1.0,201.80142857143073,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
226,226,BTCUSDT,5m,94012.75,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,0.6479184546960085,True,opposed,0.5,0.3,211.0057142857165,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
227,227,BTCUSDT,5m,93800.44,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,212.56785714286005,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
228,228,BTCUSDT,5m,93657.14,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,215.07857142857392,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
229,229,BTCUSDT,5m,93682.92,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,200.08285714285947,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
230,230,BTCUSDT,5m,93616.57,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,short,0.6295603510663462,True,opposed,0.5,0.3,188.85071428571558,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
231,231,BTCUSDT,5m,93545.34,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,172.3092857142869,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
232,232,BTCUSDT,5m,93492.06,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,177.5714285714296,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
233,233,BTCUSDT,5m,93477.55,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,1.0,True,opposed,0.5,0.3,168.9871428571444,1000.0104507097433,1000.342249722368,0.033168549335672745,0.01045070974328155
