timestamp,symbol,interval,signal,p,p_source,ensemble_p,model_confidence_factor,p_buy_ema,p_buy_raw
2025-12-25T11:35:51.562435,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:36:52.504945,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:37:53.728368,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:38:54.990514,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:39:56.128712,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:40:57.176923,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:41:58.320618,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:42:59.357480,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:44:00.698234,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:45:01.676784,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:46:03.000138,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:47:03.993624,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:47:53.105774,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:48:04.986554,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:48:54.330241,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:49:06.158529,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:50:07.669079,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:51:08.906266,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:51:29.320094,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:54:27.197046,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:55:10.638273,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:56:25.262840,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:56:47.842861,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:57:41.943665,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:57:56.631867,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:58:43.098890,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:58:57.646894,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:59:45.311385,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T11:59:58.753055,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T12:00:46.250988,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T12:00:59.702702,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T12:01:47.140552,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T12:02:00.840214,BTCUSDT,5m,HOLD,1.0,p_buy_ema,,,1.0,1.0
2025-12-25T12:06:11.327638,BTCUSDT,5m,HOLD,0.5445509552955627,p_buy_ema,,,0.5445509552955627,0.5445509552955627
2025-12-25T12:07:12.483889,BTCUSDT,5m,HOLD,0.5445509552955627,p_buy_ema,,,0.5445509552955627,0.5445509552955627
2025-12-25T12:12:59.255333,BTCUSDT,5m,HOLD,0.5445509552955627,p_buy_ema,,,0.5445509552955627,0.5445509552955627
2025-12-25T12:15:35.895626,BTCUSDT,5m,HOLD,0.5445509552955627,p_buy_ema,,,0.5445509552955627,0.5445509552955627
2025-12-25T12:19:58.426146,BTCUSDT,5m,HOLD,0.5445509552955627,p_buy_ema,,,0.5445509552955627,0.5445509552955627
2025-12-25T13:15:45.826774,BTCUSDT,5m,HOLD,0.5445509552955627,p_buy_ema,,,0.5445509552955627,0.5445509552955627
2025-12-25T13:34:50.311775,BTCUSDT,5m,HOLD,0.5445509552955627,p_buy_ema,,,0.5445509552955627,0.5445509552955627
2025-12-25T13:35:51.284294,BTCUSDT,5m,HOLD,0.5445509552955627,p_buy_ema,,,0.5445509552955627,0.5445509552955627
2025-12-25T13:48:17.926853,BTCUSDT,5m,HOLD,0.5445509552955627,p_buy_ema,,,0.5445509552955627,0.5445509552955627
2025-12-25T14:17:14.924963,BTCUSDT,5m,HOLD,0.5445509552955627,p_buy_ema,,,0.5445509552955627,0.5445509552955627
2025-12-25T14:29:30.393743,BTCUSDT,5m,HOLD,0.5445509552955627,p_buy_ema,,,0.5445509552955627,0.5445509552955627
2025-12-25T14:45:06.586366,BTCUSDT,5m,HOLD,0.5445509552955627,p_buy_ema,,,0.5445509552955627,0.5445509552955627
2025-12-25T14:46:07.956388,BTCUSDT,5m,HOLD,0.5445509552955627,p_buy_ema,,,0.5445509552955627,0.5445509552955627
2025-12-25T19:31:12.512363,BTCUSDT,5m,HOLD,0.5092041735390639,p_buy_ema,,,0.5092041735390639,0.5092041735390639
2025-12-25T19:34:31.581750,BTCUSDT,5m,HOLD,0.5092041735390639,p_buy_ema,,,0.5092041735390639,0.5092041735390639
2025-12-25T19:35:27.265581,BTCUSDT,5m,HOLD,0.5092041735390639,p_buy_ema,,,0.5092041735390639,0.5092041735390639
