open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1764125700000,87812.09,87816.79,87678.3,87711.82,31.3037,1764125999999,2746202.9338792,9475,9.84878,863972.1013962,0
1764126000000,87711.82,87752.71,87672.26,87700.5,19.62581,1764126299999,1721350.0033072,10158,11.57227,1014910.8942224,0
1764126300000,87700.51,87741.52,87692.8,87702.6,19.65653,1764126599999,1724038.6721893,6682,11.51677,1010102.5827049,0
1764126600000,87702.59,87776.12,87680.82,87704.0,21.16892,1764126899999,1857263.1686532,8374,11.3305,994111.5613913,0
1764126900000,87704.01,87775.04,87662.0,87758.44,23.49695,1764127199999,2060932.0386401,7685,13.67765,1199554.644506,0
1764127200000,87758.43,87892.82,87742.09,87854.65,27.57289,1764127499999,2422071.1874973,7085,21.76056,1911520.5191501,0
1764127500000,87854.65,87879.06,87809.99,87823.89,20.89279,1764127799999,1835146.2509858,6110,6.72818,590961.4848715,0
1764127800000,87823.52,87823.53,87465.06,87484.73,107.88028,1764128099999,9450316.4744341,18973,19.13804,1677052.6676588,0
1764128100000,87484.73,87490.37,87349.96,87452.19,125.84811,1764128399999,11002229.4504286,11883,34.19371,2988698.9496268,0
1764128400000,87452.19,87461.02,87267.01,87375.51,64.15698,1764128699999,5604283.4322941,13684,27.03721,2361768.5211452,0
1764128700000,87375.52,87375.52,87254.0,87273.15,88.81371,1764128999999,7755485.8737087,12900,19.28633,1683624.9336668,0
1764129000000,87273.15,87280.0,87085.89,87100.0,166.05537,1764129299999,14478346.5535312,15848,31.31542,2729792.9139663,0
1764129300000,87099.99,87169.8,87069.97,87119.92,49.0321,1764129599999,4271216.0081478,11673,22.0376,1919709.3099673,0
1764129600000,87119.93,87291.5,87119.92,87235.28,56.25543,1764129899999,4906668.1606166,10074,43.68808,3810407.4090135,0
1764129900000,87235.28,87235.29,86949.91,87000.0,113.08524,1764130199999,9843887.658335,16374,22.25388,1937076.1365287,0
1764130200000,86999.99,87006.1,86909.99,86910.56,56.89427,1764130499999,4946608.820073,11501,30.28352,2632831.6845197,0
1764130500000,86913.0,87017.03,86913.0,86992.0,36.31051,1764130799999,3158608.6087981,10175,15.40621,1339948.8428143,0
1764130800000,86992.0,87136.33,86980.27,87127.0,65.22743,1764131099999,5677922.4010491,9376,40.27241,3505943.7838419,0
1764131100000,87127.01,87250.0,87069.87,87242.1,51.21648,1764131399999,4463893.1715903,10350,28.66643,2499217.7609267,0
1764131400000,87242.11,87326.48,87207.5,87266.95,35.30364,1764131699999,3080751.6801134,8975,22.8279,1992053.4367572,0
1764131700000,87266.95,87359.99,87266.95,87343.87,21.36118,1764131999999,1865212.5167158,6396,11.53198,1006884.3231419,0
1764132000000,87343.88,87368.0,87256.66,87275.95,23.64612,1764132299999,2064416.4027617,7111,8.6159,752244.0717335,0
1764132300000,87275.96,87338.05,87200.0,87200.01,31.39421,1764132599999,2740318.0743837,9448,11.8647,1035688.8234421,0
1764132600000,87200.01,87245.97,87186.75,87232.85,17.50062,1764132899999,1526534.9152191,6903,5.61891,490092.5162859,0
1764132900000,87232.86,87281.99,87227.66,87230.23,15.05885,1764133199999,1313772.5868224,3271,7.65453,667771.5710153,0
1764133200000,87230.23,87321.4,87220.01,87321.4,12.43371,1764133499999,1085229.0920279,6698,8.13159,709727.9872434,0
1764133500000,87321.4,87463.5,87321.39,87400.01,30.2275,1764133799999,2642074.6067616,9790,15.63754,1366705.9243194,0
1764133800000,87400.0,87436.69,87382.85,87415.65,9.5783,1764134099999,837229.1643378,4919,4.07544,356218.0972217,0
1764134100000,87415.65,87554.84,87415.64,87539.78,37.99995,1764134399999,3324966.5467384,12612,24.85817,2175072.1658965,0
1764134400000,87539.79,87691.09,87482.06,87526.22,58.59545,1764134699999,5130617.4483248,16175,37.01827,3241208.8195444,0
1764134700000,87526.21,87549.48,87471.53,87549.48,20.40323,1764134999999,1785389.792726,5140,8.32728,728700.678378,0
