open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1751328000000,107146.51,107449.25,107026.93,107377.02,253.62802,1751331599999,27201245.0597966,68242,114.96074,12329702.6385874,0
1751331600000,107377.03,107540.0,107171.42,107220.0,219.64653,1751335199999,23588589.1966471,67588,80.21028,8614095.1946154,0
1751335200000,107220.0,107410.74,107097.87,107101.69,207.06087,1751338799999,22208214.3338702,54684,81.41164,8731958.124816,0
1751338800000,107101.68,107223.0,107070.2,107192.38,293.12458,1751342399999,31410335.830836,38802,152.24013,16314508.4391315,0
1751342400000,107192.39,107203.11,106867.43,106881.6,261.75371,1751345999999,28018264.713685,42983,89.94461,9629882.960979,0
1751346000000,106881.6,106967.76,106740.0,106932.49,402.48733,1751349599999,42994565.5225608,60358,191.50267,20454271.4719151,0
1751349600000,106932.49,106932.49,106758.24,106890.77,167.32269,1751353199999,17876477.8568617,40173,74.39042,7947491.853427,0
1751353200000,106890.77,107178.99,106615.97,107178.99,436.41463,1751356799999,46669329.8718468,74154,205.18233,21945749.6127744,0
1751356800000,107178.99,107178.99,106681.52,106710.12,282.35131,1751360399999,30178535.4881933,60018,101.02942,10795966.3060006,0
1751360400000,106710.12,106794.09,106500.0,106556.39,389.14535,1751363999999,41486047.0620699,75361,160.98289,17163939.4126021,0
1751364000000,106556.39,106633.31,106301.86,106490.42,468.88764,1751367599999,49912164.0727419,71251,201.2731,21424361.008124,0
1751367600000,106490.42,106622.05,106317.17,106605.8,294.43204,1751371199999,31360024.2649717,55297,161.18838,17170104.4353443,0
1751371200000,106605.79,106706.05,106365.24,106421.08,284.29339,1751374799999,30271032.7404543,53256,132.47161,14104510.4264938,0
1751374800000,106421.07,106885.38,106301.04,106807.42,1241.43566,1751378399999,132325715.8732655,146908,642.38499,68476143.5843749,0
1751378400000,106807.43,107179.99,105717.84,105925.0,1572.86174,1751381999999,167219090.6478477,270227,619.79363,65917430.7512131,0
1751382000000,105925.01,106200.0,105623.39,105955.18,876.10488,1751385599999,92743064.630492,180696,382.87659,40538816.5057337,0
1751385600000,105955.19,106280.0,105831.5,106082.56,343.73692,1751389199999,36474638.683857,109260,186.26906,19766596.3016203,0
1751389200000,106082.55,106287.95,105909.42,106253.79,279.69821,1751392799999,29691345.8467562,83387,141.34267,15006099.4694304,0
1751392800000,106253.8,106269.6,105699.22,105749.68,412.70793,1751396399999,43715467.4336415,81967,131.44652,13921822.9914526,0
1751396400000,105749.68,105804.0,105387.68,105398.53,654.75967,1751399999999,69124930.4097538,127204,273.04235,28828176.8968022,0
1751400000000,105398.52,105995.44,105250.85,105920.01,431.58675,1751403599999,45564183.291887,78630,206.66002,21824244.7739269,0
1751403600000,105920.01,106100.0,105744.81,105784.13,231.93599,1751407199999,24562536.2117605,65998,111.55107,11812596.8801535,0
1751407200000,105784.12,105916.64,105600.0,105613.22,253.7495,1751410799999,26833553.6441625,54550,74.87814,7918610.8952284,0
1751410800000,105613.21,105702.39,105361.33,105681.14,246.49903,1751414399999,26003593.2046776,52295,131.88401,13912195.2490319,0
1751414400000,105681.13,105781.43,105377.35,105392.3,239.30387,1751417999999,25268718.3699814,65544,94.78211,10010392.7095692,0
1751418000000,105392.3,105790.07,105100.19,105720.0,517.94641,1751421599999,54644898.251848,91516,218.61486,23067962.735764,0
1751421600000,105720.0,105920.11,105525.61,105908.7,333.47913,1751425199999,35246073.6266798,57890,151.36771,16003701.2538791,0
1751425200000,105908.71,106216.08,105871.07,106194.7,362.91292,1751428799999,38499854.9194872,63196,195.41572,20729217.651084,0
1751428800000,106194.7,106382.86,106131.55,106382.86,339.23333,1751432399999,36035718.3503535,47100,169.52016,18007982.9904397,0
1751432400000,106382.85,106667.57,106292.29,106638.83,395.18675,1751435999999,42090726.9343229,55266,233.1613,24834724.7727745,0
1751436000000,106638.83,107014.39,106633.83,107014.38,611.77648,1751439599999,65377258.4094986,69147,304.51865,32548779.0212253,0
1751439600000,107014.39,107186.78,106852.83,107080.0,557.31452,1751443199999,59629849.0975831,55929,224.02903,23971957.971902,0
1751443200000,107080.0,107745.0,107080.0,107728.99,802.78861,1751446799999,86321818.9332892,103085,446.12612,47963719.9468994,0
1751446800000,107729.0,107799.99,107506.52,107636.16,388.44355,1751450399999,41819777.6025353,62186,150.84719,16242239.7333595,0
1751450400000,107636.15,107860.23,107612.67,107848.95,442.3967,1751453999999,47669480.7102873,28340,222.60322,23993485.6916743,0
