open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1751202000000,108189.88,108228.28,108127.03,108145.0,84.13928,1751202899999,9102049.7737755,11987,37.92699,4103685.5704784,0
1751202900000,108144.99,108156.69,108087.0,108111.05,49.53586,1751203799999,5356327.280646,9319,10.80981,1168800.9052852,0
1751203800000,108111.04,108181.2,108012.82,108152.57,78.1335,1751204699999,8444537.2754336,18557,31.99688,3458242.7886391,0
1751204700000,108152.57,108183.81,108036.21,108051.52,42.78841,1751205599999,4624316.012276,15612,14.8778,1607948.054415,0
1751205600000,108051.53,108207.6,108051.52,108207.59,39.35782,1751206499999,4255430.0522059,7622,26.44543,2859335.3384204,0
1751206500000,108207.59,108215.12,108074.09,108086.44,36.65141,1751207399999,3963757.623532,11160,10.77564,1165424.6906066,0
1751207400000,108086.45,108086.45,107777.77,107860.01,164.11431,1751208299999,17706169.8602448,18934,63.87317,6887522.366697,0
1751208300000,107860.01,107975.0,107796.0,107948.08,106.05125,1751209199999,11443500.3146992,20541,76.869,8295364.1901866,0
1751209200000,107948.07,108034.13,107828.0,108001.24,100.32891,1751210099999,10830756.3268634,23814,74.55512,8048788.9260051,0
1751210100000,108001.23,108001.24,107875.71,107922.78,96.34445,1751210999999,10398766.8185546,18033,44.41212,4793589.7144085,0
1751211000000,107922.77,107959.91,107886.6,107903.56,41.7314,1751211899999,4503974.7548729,12919,20.57307,2220461.7297031,0
1751211900000,107903.56,107903.56,107650.0,107750.72,106.85664,1751212799999,11514912.8395273,21463,38.73018,4172650.389197,0
1751212800000,107750.72,107792.05,107633.85,107671.88,106.29479,1751213699999,11449076.2037488,16164,43.62325,4699285.4620523,0
1751213700000,107671.89,107756.68,107468.83,107524.28,186.06863,1751214599999,20021008.8387238,25652,85.4986,9202686.0141843,0
1751214600000,107524.27,107620.0,107470.67,107490.57,123.81788,1751215499999,13315272.1987486,21292,70.51059,7582519.2896375,0
1751215500000,107490.58,107605.56,107320.0,107552.03,128.92219,1751216399999,13851550.3430809,30324,69.1973,7435117.869485,0
1751216400000,107552.03,107592.17,107515.48,107561.56,78.66139,1751217299999,8460070.5679379,13509,59.62933,6413312.0581484,0
1751217300000,107561.56,107567.67,107400.0,107402.18,66.74491,1751218199999,7174955.2811426,14537,32.211,3463063.0853366,0
